start=2014-09-18T09:01:00,end=2014-11-13T09:01:00,version=0.2.2,note=NOT FOR NAVIGATION
FAA,ICAO,NAME,STATE,LATITUDE,LONGITUDE,ELEVATION
02MS,,WATTS FIELD,MS,34.10010694444444,-90.84677138888888,153.0
02MU,,TIMBER LINE AIRPARK,MO,36.65423277777778,-93.79741916666666,1550.0
02NC,,RACE CITY,NC,35.541111111111114,-80.59777777777778,809.0
02NH,,IROQUOIS LANDING,NH,44.657138888888895,-71.21905555555556,1180.0
02NJ,,MERCK KENILWORTH CAMPUS,NJ,40.67461111111111,-74.27819444444444,166.0
02NR,,MCGEE 02,NC,35.591944444444444,-77.3775,25.0
02NV,,PAIUTE MEADOWS,NV,41.300555555555555,-118.92833333333333,4443.0
02NY,,HANSEN,NY,43.13256833333334,-75.65545972222223,435.0
02P,,STOTTLE MEMORIAL,PA,40.40358333333333,-77.55658333333334,591.0
02PA,,LAG III,PA,40.43833333333333,-79.77,1070.0
02PN,,PECO BERWYN,PA,40.059019444444445,-75.46138888888889,278.0
02PR,,CUYLERS,PR,18.453333333333333,-66.36694444444444,15.0
02SC,,HARPERS,SC,32.75850194444445,-81.22482472222222,111.0
02T,,WISE RIVER,MT,45.77002777777778,-112.98047222222223,5830.0
02TA,,MATAGORDA SHORE FACILITY,TX,28.721375,-95.87385027777778,5.0
02TE,,BAYLOR MEDICAL CENTER,TX,32.395380555555555,-96.8642,560.0
02TN,,ELLIS FIELD,TN,35.78055555555556,-86.58416666666666,840.0
02UT,,LUCIN,UT,41.3663125,-113.8430636111111,4412.0
02VA,,THE GREENHOUSE,VA,38.43568277777778,-77.85721638888889,320.0
02WA,,CAWLEYS SOUTH PRAIRIE,WA,47.152323888888894,-122.09400277777777,690.0
02WI,,BEER,WI,45.031911111111114,-92.65575638888889,920.0
02WN,,FOWLER FLD,WA,48.74583333333333,-119.31861111111111,2150.0
02XS,,SEIDEL RANCH,TX,30.147713055555556,-97.66277916666667,510.0
03AK,,JOE CLOUDS,AK,60.727222222222224,-151.1327777777778,150.0
03AL,,JACKSON COUNTY HOSPITAL,AL,34.6625,-86.04722222222222,628.0
03AR,,HSCMH,AR,34.357592777777775,-92.78850055555556,350.0
03AZ,,THOMPSON INTL AVIATION,AZ,31.433432500000002,-110.08396583333334,4275.0
03B,,MANSFIELD MUNI,MO,37.126777777777775,-92.62161111111111,1500.0
03CA,,GROSSMONT HOSPITAL,CA,32.77977277777778,-117.0058611111111,634.0
03CO,,KUGEL-STRONG,CO,40.2125,-104.74444444444444,4950.0
03D,,MEMPHIS MEMORIAL,MO,40.447250000000004,-92.22694444444444,813.0
