start=2014-09-18T09:01:00,end=2014-11-13T09:01:00,version=0.2.2,note=NOT FOR NAVIGATION
AIRPORT,RUNWAY,LENGTH,LATITUDE,LONGITUDE,ELEVATION,WIDTH,LANDING_LATITUDE,LANDING_LONGITUDE,LANDING_ELEVATION
PACZ,20,3925,61.78650027777778,-166.03145833333335,464.1,161,,,
PACS,06,1900,,,,90,,,
PACS,24,1900,,,,90,,,
PACS,16,3500,,,253.0,120,,,
PACS,34,3500,,,292.0,120,,,
CSP,H1,50,,,84.0,50,,,
CSP,,50,,,,50,,,
PACE,08,2782,65.57483869444445,-144.7898236388889,936.8,60,65.57476199999999,-144.78904869444446,936.2
PACE,26,2782,65.57307008333333,-144.77196233333333,916.2,60,,,
PACI,03,4000,66.64177147222222,-143.75096299999998,528.7,75,,,
PACI,21,4000,66.64827783333334,-143.72882586111112,548.5,75,66.64746463888889,-143.73159394444446,545.3
5CD,01,2529,,,,70,,,
5CD,19,2529,,,,70,,,
PALR,04,3000,67.50308333333334,-148.48893333333334,1920.0,60,,,
PALR,22,3000,67.50766944444445,-148.47119166666667,1920.0,60,,,
CYM,NW,10000,,,0.0,1000,,,
CYM,SE,10000,,,0.0,1000,,,
PACK,16,3230,60.14120833333334,-164.27951388888889,34.0,60,,,
PACK,34,3230,60.13238333333333,-164.27858333333333,34.0,60,,,
AK13,08,3000,,,,60,,,
AK13,26,3000,,,,60,,,
PFCB,16,3000,60.08266111111111,-147.9951166666667,64.0,75,,,
PFCB,34,3000,60.07446111111111,-147.99435277777778,68.9,75,,,
KCN,ALL,5000,,,,2000,,,
KCN,WAY,5000,,,,2000,,,
PAVA,02,3220,61.53715277777778,-165.60592008333333,47.6,75,,,
PAVA,20,3220,61.54453763888888,-165.59586388888889,59.3,75,,,
PAVA,18W,2000,,,,400,,,
PAVA,36W,2000,,,,400,,,
48AK,12,1320,,,,45,,,
48AK,30,1320,,,,45,,,
CKX,13,2500,64.0699,-141.95436666666666,1640.0,60,,,
CKX,31,2500,64.06360277777777,-141.94832777777776,1640.0,60,,,
Z78,E,6000,,,,4000,,,
Z78,W,6000,,,,4000,,,
Z78,NE,10000,,,,4000,,,
Z78,SW,10000,,,,4000,,,
KCL,04,1810,,,,60,,,
KCL,22,1810,,,,60,,,
PAJC,02,2600,56.30847222222222,-158.37670833333334,24.0,60,,,
PAJC,20,2600,56.31434722222222,-158.36948333333333,19.6,60,,,
A79,08,2800,56.25617777777777,-158.78459444444445,35.7,60,,,
A79,26,2800,56.25473611111111,-158.77106944444444,44.0,60,,,
